message_id,message_date,issue_type,context
40892,2026-03-01T12:50:36,body_row_without_timestamp,גבעת הרואה | גבעת הרואה
40892,2026-03-01T12:50:36,body_row_without_timestamp,חוות נווה צוף | חוות נווה צוף
40892,2026-03-01T12:50:36,body_row_without_timestamp,חומש | חומש
40892,2026-03-01T12:50:36,body_row_without_timestamp,מכינת אלישע | מכינת אלישע
40892,2026-03-01T12:50:36,body_row_without_timestamp,"Самария | Маале Левона, Атерет"
40892,2026-03-01T12:50:36,body_row_without_timestamp,נווה צוף | נווה צוף
41171,2026-03-01T13:42:47,body_row_without_timestamp,"Ха-Амаким | Ади, Каабия, ха-Солелим, Сауад Хумейра, Нофит, Хошайя, Шимшит, Кфар Кана, Машхад, Илания, Алон а-Галиль, Басмат Тивон, Рас Али, Ципори, Хаджаджаре, Бейт Лехем ха-Глилит, Хавальд, Х"
41171,2026-03-01T13:42:47,body_row_without_timestamp,"Центральная Галилея | Морешет, Тфахот, Бейт Римон, Лотем и Хамдон, Массад, Рас аль-Эйн, Буэйне-Нуджейдат, Шфарам, Ханатон, Бир аль-Максур, Магар, Кфар Манда, Хусния, Каланит, Тюрьма Цальмон, Мицпе Нетоф"
41171,2026-03-01T13:42:47,body_row_without_timestamp,"Нижняя Галилея | Кфар Зеитим, Наби Шуайеб, Промзона Кидмат Галиль, Гиват Авни, Сдэ Илан, Ходайот, Кфар Нехар ха-Ярден, Лави, Равид, Арбель, Вади Эль Хамам"
41171,2026-03-01T13:42:47,body_row_without_timestamp,"Верхняя Галилея | Михманим, Туваль, Акко, Кармиэль, Таль-Эль, Новое Кладбище Акко, Промзона Кармиэль, Дждейда Макр, Камон, Пелех, Бина, Мадждаль Крум"
41171,2026-03-01T13:42:47,body_row_without_timestamp,"Ха-Мифрац | Кфар ха-Маккаби, Рамат Йоханан, Хайфа - Мифрац, Ягур, Кирьят Ата, Хайфа - Кармэль, Хадар и Нижний город, Кфар Хасидим, Рехасим, Хайфа - запад, Хайфа - Неве Шаанан и Рамот, Ибтин, К"
41171,2026-03-01T13:42:47,body_row_without_timestamp,"Менаше | Нешер, Тират Кармель, Кфар Галим, ха-Хотрим"
45211,2026-03-07T20:36:03,body_row_without_timestamp,"Ха-Шфела | Ришон ле Цион - запад, Геалия, Ганей Йоханан, Яциц, Кфар Билу, Кармей Йосеф, Пдая, Кирьят Экрон, Хульда, Есодот, Мазкерет Батья, Мишмар Давид, Нецер Хазани, Ган Шломо"
45211,2026-03-07T20:36:03,body_row_without_timestamp,"Шфелат Йегуда | Мини Израиль - Нахшон, Бкоа, Гизо, Харэль, Неве Шалом, Нахшон, Латрун, Натаф"
45211,2026-03-07T20:36:03,body_row_without_timestamp,"Иерусалим | Новый Гваон, Гиват Зеэв, Иерусалим - Кфар Акев"
45211,2026-03-07T20:36:03,body_row_without_timestamp,"Самария | Кохав Яаков, Тель Цион, Мигрон"
45211,2026-03-07T20:36:03,body_row_without_timestamp,רמת מגרון | רמת מגרון
45211,2026-03-07T20:36:03,body_row_without_timestamp,"נוף איילון, שעלבים | נוף איילון, שעלבים"
45211,2026-03-07T20:36:03,body_row_without_timestamp,שדה אפרים | שדה אפרים
